content	description
https://www.ivi.ru/watch/157318/description	Лучший подарок, который только можно было придумать для всех поклонников культового сериала  – рождественский спецвыпуск «Шерлока», в котором абсолютно все будет особенным: и старинные костюмы, и дух викторианской Англии, и, конечно же, покрытая  мраком и завесой мистики тайна, которую предстоит разгадать гениальному сыщику. Кроме того, создатели сериала обещали оставить для самых внимательных поклонников «Шерлока» подсказки, связанные с содержанием четвертого сезона сериала.  Впервые герои современного сериала предстанут в своих «книжных» образах – Холмс с трубкой и в охотничьей шляпе, а Ватсон – с усами и в котелке. Действие перенесено в 1895 год. В центре сюжета загадочная история о призраке невесты, который наводит ужас на весь город. К Шерлоку за помощью обращается инспектор Лестрейд, который расследует дело об убийстве Томаса Риколетти. Жена Риколетти покончила с собой. Спустя некоторое время мистер Риколетти увидел супругу живой и в свадебном платье, после чего покойная Эмилия выстрелила в него. В чем же разгадка этой таинственной истории, можно смотреть онлайн в спецвыпуске «Шерлок Холмс. Безобразная невеста».
https://www.ivi.ru/watch/98336/description	Через какие трудности приходится проходить Санта Клаусу каждый год, чтобы под каждой елкой появился тот самый подарок, расскажет мульт «Нико 2».   Маленький олененок Нико мечтает продолжить дело отца. Ведь его папа самый знаменитый и уважаемый олень на свете. О его работе мечтает каждый – он трудится в упряжке самого Санта Клауса. Но сам Нико пока еще слишком маленький для такого тяжелого и ответственного дела. Так что пока он сам ждет Санту с подарками. Накануне Рождества он встречается со своими самыми близкими друзьями: белкой Джулиусом, лаской Вилмой и сводным братишкой Джонни, чтобы вместе встречать Рождество и не пропустить заветную оленью упряжку. Но, как всегда в пути Санту ждут невероятные приключения. На этот раз все настолько серьезно, что детишки всего мира могут и вовсе остаться без подарков. Хорошо, что Нико и его товарищи всегда готовы прийти на помощь. Им не страшны любые испытания и приключения: ведь среди них – достойный сын одного из оленей упряжки самого Санта Клауса.  Советуем смотреть онлайн «Нико 2», добрый и милый рождественский мультик, который отлично подойдет для семеного просмотра.
https://www.ivi.ru/watch/183533/description	Миловидный Давид - позор для своего отца. Не в силах терпеть постоянные унижения, Давид убегает из дома и поселяется в парке «Вилла Беллини» в Катании. Там он знакомится с чопорным проходимцем Ла Ретторе и его бандой геев и трансгендеров. Однако однажды прошлое вмешивается в настоящее, и Давид должен сделать самый трудный выбор своих юношеских лет.
https://www.ivi.ru/watch/157319/description	Экранизация сатирического бестселлера Стивена Фрая, мастерски воплощенная британским режиссером и продюсером Джоном Дженксом.   У Теда Уоллеса было славное прошлое, и вот-вот его книги должны были пополнить стройный ряд томов британских классиков. Но его жуткий характер вкупе с алкоголизмом и мизантропией в запущенной стадии испортили все. Теперь Тед зарабатывает на жизнь тем, что поносит в своих статьях спектакли, которые вообще-то не стоят его внимания. И продолжает пить. Вскоре Тед лишается и этого: его бесконечное ворчание достало всю редакцию.  Готовясь к голодной и бесславной смерти, внезапно Уоллес получает выгодное предложение от своей крестницы Джейн. Девушка недавно излечилась от болезни благодаря чуду и теперь предлагает Теду погостить в аристократическом доме, чтобы осветить происходящие здесь чудеса исцеления.  Старый скептик соглашается из корыстных побуждений и даже представить не может, сколько сюрпризов ему уготовано.  Смотреть онлайн эту комедию о том, что даже самые заядлые скептики тайно готовы верить в невозможное, можно на нашем сайте.
https://www.ivi.ru/watch/51342/description	«Леди удача» – авантюрная романтическая комедия, снятая в двадцатые годы ХХ века, на заре звукового кинематографа. Главную роль исполнила обаятельная Норма Ширер, пятикратный номинант и лауреат премии «Оскар» за фильм «Развод». Сюжет и посыл картины, несмотря на ее почтенный возраст, нисколько не устарели. В мелодраме, которую вы можете посмотреть онлайн, представлена забавная история авантюристки по прозвищу Ангельское Личико. С равным успехом показанные события могли произойти и в наше время – как вы сами можете убедиться, люди за несколько десятилетий мало изменились в глобальных вещах.   Прелестная девушка Долли – опасная авантюристка со стажем. Она зарабатывает на жизнь шантажом по простой и многократно отработанной схеме. Долли знакомится с богатым мужчиной, приглашает его к себе на квартиру, а затем начинает требовать деньги за соблюдение молчания. В результате полицейских происков девушка оказывается под арестом, однако избегает строгого наказания. Выйдя на свободу, она снимает номер в отеле, где знакомится с новой жертвой – молодым человеком по имени Стив. Стив утверждает, что он изобретатель-миллионер, однако несколько искажает факты. На самом деле, герой – просто ученый, создавший вещь, способную принести миллионы.
https://www.ivi.ru/watch/183534/description	На поминках Сюзанна узнает, что Джефф изменял ей с молодой темнокожей стриптизершей. Пытаясь переварить полученную информацию, женщина отправляется в рождественское турне по злачным местам своей радикально изменившейся жизни. Загул Сюзанны получился совершенно рок-н-ролльным: нашлось в нем место и шоплифтингу, и кокаину в ночном клубе, и расправе над мясными продуктами, и новоселью у свингеров.
https://www.ivi.ru/watch/112509/description	Культовый японский фильм ужасов, заставляющий кровь стыть в жилах и не дающий ни на секунду отвести свой взгляд от экрана. Данный фильм является копродукцией США и Японии: режиссером в нем стал Такаши Шимицу, а главные роли исполнили Сара Мишель Геллар и Джейсон Бер. Бесподобная работа операторов, звукорежиссеров и художников заставит вас полностью погрузиться в атмосферу зловещего и невероятно правдоподобного ужаса.  Проклятие умерших обитает в тех местах, где они раньше жили, а потом умерли мучительной смертью. Проклятие, как и сами умершие, никуда не уходит, оно таится в темноте, в безмолвном ужасе, поджидая новую беззащитную жертву. И как только оно насыщает свой голод очередной добычей, то становится все сильнее и распространяется все дальше. Вскоре целая сеть проклятий опутывает город, и ни у кого нет шансов выбраться. Обучающаяся в Японии американка Карен соглашается поработать сиделкой, но, зайдя в дом, сразу же чувствует, что совершила ошибку… Если вы любите пощекотать себе нервы, то рекомендуем смотреть онлайн «Проклятие».
https://www.ivi.ru/watch/157320/description	Двое выпускников калифорнийской школы бизнеса ставят перед собой простую и понятную цель – разбогатеть в кратчайшие сроки. В 1983 году они с успехом основывают рискованную финансовую пирамиду и наслаждаются легкими деньгами, пока сами не становятся жертвами более опытного афериста. Правдивую историю о печально известном  «Клубе миллиардеров» перенес на экран режиссер Джеймс Кокс («Шоссе», «Простые истины»). Роли молодых богачей исполнили звезда дилогии «Kingsman» Тэрон Эджертон и Энсел Эльгорт («Малыш на драйве», «Виноваты звезды»). В образе харизматичного негодяя предстал лауреат двух премий «Оскар» Кевин Спейси.  Молодые выпускники Джо Хант и Дин Картни недавно получили экономическое образование и теперь ищут способ, как применить его во взрослом мире. Этот «мир» – блистательный Лос-Анджелес начала 1980-х годов – полон соблазнов и возможностей. Джо и Дин разрабатывают схему, как разбогатеть на чужих инвестициях. Первый легкий заработок кружит им голову, и тогда они решают играть по-крупному. В их инвестиционную сеть ввязываются крупные вкладчики, а бизнес ребят привлекает внимание прожженного дельца Рона Левина. Ему удается перехитрить начинающих аферистов и оставить их с неподъемными долгами.  Криминальную драму, основанную на реальных событиях, «Клуб миллиардеров» можно смотреть онлайн на нашем сайте.

